Organization,State,Program,Award Amount,Award Date,Type
"NATIONAL FIRE PROTECTION ASSOCIATION, INC.",MA,Fire prevention and safety,"$922,128 ",1/19/2001,FPS
"Institution of Fire Engineers, United States of America Branch, The",MD,Fire prevention and safety,"$841,914 ",1/19/2001,FPS
"INTERNATIONAL ASSOCIATION OF ARSON INVESTIGATORS, INC.",MD,Fire prevention and safety,"$769,619 ",1/19/2001,FPS
"BILOXI, CITY OF",MS,Fire prevention and safety,"$31,032 ",1/19/2001,FPS
"Roanoke Rapids, City Of",NC,Fire prevention and safety,"$119,047 ",1/19/2001,FPS
"SOUTH SIOUX CITY, CITY OF",NE,Fire prevention and safety,"$27,809 ",1/19/2001,FPS
"Jonesboro, City of",AR,Fire prevention and safety,"$9,133 ",1/19/2001,FPS
"Champaign, City of",IL,Fire prevention and safety,"$139,285 ",1/19/2001,FPS
FRY FIRE DISTRICT,AZ,Fire prevention and safety,"$4,761 ",1/19/2001,FPS
"YUMA, CITY OF",AZ,Fire prevention and safety,"$14,619 ",1/19/2001,FPS
"Ventura, County Of",CA,Fire prevention and safety,"$203,809 ",1/19/2001,FPS
"Safe Community Project, The",CA,Fire prevention and safety,"$517,200 ",1/19/2001,FPS
California Fire Prevention Organization,CA,Fire prevention and safety,"$556,214 ",1/19/2001,FPS
LARKSPUR FIRE PROTECTION DISTRICT,CO,Fire prevention and safety,"$18,342 ",1/19/2001,FPS
"Maitland, City of",FL,Fire prevention and safety,"$20,323 ",1/19/2001,FPS
"Tampa, City Of",FL,Fire prevention and safety,"$17,268 ",1/19/2001,FPS
"MCDONOUGH, CITY OF",GA,Fire prevention and safety,"$176,571 ",1/19/2001,FPS
CITY OF BIRMINGHAM,AL,Fire prevention and safety,"$22,857 ",1/19/2001,FPS
"HONOLULU, CITY & COUNTY OF",HI,Fire prevention and safety,"$23,800 ",1/19/2001,FPS
Duke University,NC,Fire Prevention,"$1,419,658 ",1/18/2001,FPS
International Assoc. of Fire Fighters Foundation,DC,Fire Prevention,"$1,499,462 ",1/18/2001,FPS
International Association of Fire Fighters,DC,Fire Prevention,"$1,499,848 ",1/18/2001,FPS
National Fallen Firefighters Foundation,MD,Fire Prevention,"$1,428,572 ",1/18/2001,FPS
North Carolina State University,NC,Research,"$1,273,360 ",1/18/2001,FPS
Northeastern University,MA,Research,"$1,500,000 ",1/18/2001,FPS
Skidmore College,NY,Fire Prevention,"$1,311,489 ",1/18/2001,FPS
The Board of Trustees of the University of Illinois,IL,Research and Prevention,"$1,241,435 ",1/18/2001,FPS
U.S. Spine & Sport Foundation,FL,Fire Prevention,"$1,169,220 ",1/18/2001,FPS
Childrens Burn Foundation,CA,Fire Prevention,"$578,691 ",1/18/2001,FPS
Underwriters Laboratories Inc.,IL,Research,"$1,500,000 ",1/18/2001,FPS
City of Belton,TX,Fire Prevention,"$24,158 ",1/18/2001,FPS
National Fire Sprinkler Association,MD,Fire Prevention,"$327,620 ",1/18/2001,FPS
North Hudson Regional Fire & Rescue,NJ,Fire Prevention,"$59,670 ",1/18/2001,FPS
Shaker Heights Fire Department,OH,Fire Prevention,"$23,810 ",1/18/2001,FPS
Town of Paradise Fire Department,CA,Fire Prevention,"$30,286 ",1/18/2001,FPS
Town of Trophy Club,TX,Fire Prevention,"$104,429 ",1/18/2001,FPS
University of Miami Miller School of Medicine,FL,Research,"$1,499,785 ",1/18/2001,FPS
Clark County Fire District 3,WA,Fire Prevention,"$12,732 ",1/18/2001,FPS
American Red Cross,DC,Fire Prevention,"$1,500,000 ",1/18/2001,FPS
Johnsonburg Fire Department,PA,Fire Prevention,"$45,334 ",1/18/2001,FPS
Little Rock Fire Department,AR,Fire Prevention,"$49,048 ",1/18/2001,FPS
Memphis Fire Department,TN,Fire Prevention,"$277,250 ",1/18/2001,FPS
Waterbury Fire Department,CT,Fire Prevention,"$54,400 ",1/18/2001,FPS
Worcester Fire Department,MA,Fire Prevention,"$179,863 ",1/18/2001,FPS
Arlington Fire District,NY,Fire Prevention,"$50,381 ",1/18/2001,FPS
"CFAI-Risk, Inc.",VA,Fire Prevention,"$1,381,117 ",1/18/2001,FPS
Courtney Volunteer Fire Department Inc.,NC,Fire Prevention,"$21,606 ",1/18/2001,FPS
Fire Department Safety Officers Association,MI,Fire Prevention,"$1,500,000 ",1/18/2001,FPS
Fire Protection Research Foundation,MA,Research and Prevention,"$1,488,271 ",1/18/2001,FPS
Grand Traverse Band of Ottawa and Chippewa Indians,MI,Fire Prevention,"$16,186 ",1/18/2001,FPS
"State of Tennessee, State Fire Marshal's Office",TN,Fire Prevention,"$350,000 ",1/18/2001,FPS
Union County Emergency Services,NC,Fire Prevention,"$90,000 ",1/18/2001,FPS
Village of Fayetteville Fire Department,NY,Fire Prevention,"$32,980 ",1/18/2001,FPS
Richmond Fire Department,KY,Fire Prevention,"$321,658 ",1/18/2001,FPS
Rockwall Fire Department,TX,Fire Prevention,"$48,500 ",1/18/2001,FPS
Rutherford County Fire and Rescue Department,TN,Fire Prevention,"$118,000 ",1/18/2001,FPS
Saginaw Fire Department,MI,Fire Prevention,"$24,000 ",1/18/2001,FPS
Seneca County,NY,Fire Prevention,"$13,000 ",1/18/2001,FPS
Skokie Fire Department,IL,Fire Prevention,"$10,566 ",1/18/2001,FPS
"National Volunteer Fire Council, Inc.",MD,Fire Prevention,"$851,158 ",1/18/2001,FPS
SPC's Center for Public Safety Innovation,FL,Fire Prevention,"$198,075 ",1/18/2001,FPS
Oklahoma Assistive Technology Foundation,OK,Fire Prevention,"$194,378 ",1/18/2001,FPS
State of Michigan Bureau of Fire Services,MI,Fire Prevention,"$525,000 ",1/18/2001,FPS
Orangeburg Department of Public Safety,SC,Fire Prevention,"$13,100 ",1/18/2001,FPS
Paterson Fire Department,NJ,Fire Prevention,"$49,759 ",1/18/2001,FPS
Placer Hills Fire Protection District,CA,Fire Prevention,"$106,000 ",1/18/2001,FPS
Indiana Department of Homeland Security,IN,Fire Prevention,"$547,186 ",1/18/2001,FPS
City of Eugene (Eugene Springfield Fire),OR,Fire Prevention,"$124,920 ",1/18/2001,FPS
Lisle-Woodridge Fire District,IL,Fire Prevention,"$15,975 ",1/18/2001,FPS
City of Frankfort Fire and EMS,KY,Fire Prevention,"$120,960 ",1/18/2001,FPS
Medical University of South Carolina,SC,Fire Prevention,"$448,267 ",1/18/2001,FPS
City of Independence,OH,Fire Prevention,"$24,400 ",1/18/2001,FPS
MICHIGAN PUBLIC HEALTH INSTITUTE,MI,Fire Prevention,"$721,998 ",1/18/2001,FPS
Clackamas County Fire District #1,OR,Fire Prevention,"$25,000 ",1/18/2001,FPS
MS. Department Of Insurance/St. Fire Marshal's Ofc,MS,Fire Prevention,"$255,307 ",1/18/2001,FPS
Dunstable Fire Department,MA,Fire Prevention,"$6,488 ",1/18/2001,FPS
Emmaus Fire Department,PA,Fire Prevention,"$4,060 ",1/18/2001,FPS
Hardin County Fire Department,TN,Fire Prevention,"$50,500 ",1/18/2001,FPS
Housing Authority of the City of Tacoma,WA,Fire Prevention,"$177,135 ",1/18/2001,FPS
Houston Fire Department,TX,Fire Prevention,"$43,424 ",1/18/2001,FPS
Hudson Fire Department,OH,Fire Prevention,"$49,400 ",1/18/2001,FPS
Burn Institute,CA,Fire Prevention,"$106,225 ",1/18/2001,FPS
North Shore Fire Department,WI,Fire Prevention,"$5,715 ",1/18/2001,FPS
Safe Community Project,CA,Fire Prevention,"$453,258 ",1/18/2001,FPS
Saint Paul Fire Department,MN,Fire Prevention,"$161,239 ",1/18/2001,FPS
Salisbury Fire Department,NC,Fire Prevention,"$69,870 ",1/18/2001,FPS
San Jose Fire Department,CA,Fire Prevention,"$73,354 ",1/18/2001,FPS
Seattle Fire Department,WA,Fire Prevention,"$476,613 ",1/18/2001,FPS
St. Louis Fire Department,MO,Fire Prevention,"$73,524 ",1/18/2001,FPS
Terry Farrell Firefighters Fund,NY,Fire Prevention,"$49,833 ",1/18/2001,FPS
Vancouver Fire Department,WA,Fire Prevention,"$206,070 ",1/18/2001,FPS
Monroe Fire Department,LA,Fire Prevention,"$12,858 ",1/18/2001,FPS
Arizona Burn Foundation,AZ,Fire Prevention,"$242,047 ",1/18/2001,FPS
National Disability Rights Network,DC,Fire Prevention,"$409,796 ",1/18/2001,FPS
Boston Fire Department,MA,Fire Prevention,"$54,286 ",1/18/2001,FPS
Central Cascades Fire & EMS,OR,Fire Prevention,"$64,762 ",1/18/2001,FPS
Chautauqua Children's Safety Education Village Inc,NY,Fire Prevention,"$67,530 ",1/18/2001,FPS
Cheyenne & Arapaho Tribes of Oklahoma,OK,Fire Prevention,"$47,614 ",1/18/2001,FPS
City of Cleveland Volunteer Fire Department,MS,Fire Prevention,"$10,024 ",1/18/2001,FPS
CLEAR SPRING FIRE AND RESCUE,SC,Fire Prevention,"$32,596 ",1/18/2001,FPS
Erie Fire Department,PA,Fire Prevention,"$98,048 ",1/18/2001,FPS
Iowa State University of Science and Technology,IA,Research,"$225,000 ",1/18/2001,FPS
Springfield Fire Department,MO,Fire Prevention,"$27,143 ",1/18/2001,FPS
Kansas City Kansas Fire Department,KS,Fire Prevention,"$112,024 ",1/18/2001,FPS
Allentown Volunteer Fire Department,GA,Fire Prevention,"$40,534 ",1/18/2001,FPS
City of Columbus Division of Fire,OH,Fire Prevention,"$288,858 ",1/18/2001,FPS
Nederland Fire Protection District,CO,Fire Prevention,"$55,791 ",1/18/2001,FPS
E.S.C.A.P.E. Inc.,MI,Fire Prevention,"$23,786 ",1/18/2001,FPS
Fairfax County Fire and Rescue Department,VA,Fire Prevention,"$79,043 ",1/18/2001,FPS
City of Bethlehem Fire Department,PA,Fire Prevention,"$15,734 ",1/18/2001,FPS
Bloomfield Fire Department,NM,Fire Prevention,"$50,243 ",1/18/2001,FPS
City of El Paso -  Fire Department,TX,Fire Prevention,"$124,715 ",1/18/2001,FPS
Alliance Fire Department,OH,Fire Prevention,"$128,667 ",1/18/2001,FPS
Goodyear Fire Department,AZ,Fire Prevention,"$15,867 ",1/18/2001,FPS
Romulus Fire Department,MI,Fire Prevention,"$23,334 ",1/18/2001,FPS
LFUCG - Division of Fire,KY,Fire Prevention,"$47,618 ",1/18/2001,FPS
Howard County Department of Fire Rescue Services,MD,Fire Prevention,"$96,872 ",1/18/2001,FPS
Munroe Falls Fire Department,OH,Fire Prevention,"$27,953 ",1/18/2001,FPS
Syracuse Housing Auhtority,NY,Fire Prevention,"$236,658 ",1/18/2001,FPS
Pleasant View Volunteer Fire Department,TN,Fire Prevention,"$192,623 ",1/18/2001,FPS
City of Annapolis Fire Department,MD,Fire Prevention,"$19,491 ",1/18/2001,FPS
Cumberland Valley Volunteer Firemen's Association,WV,Fire Prevention,"$376,800 ",1/18/2001,FPS
Garfield Heights Fire Department,OH,Fire Prevention,"$21,177 ",1/18/2001,FPS
Martin County Board of County Commissioners Fire Rescue Department,FL,Fire Prevention,"$11,905 ",1/18/2001,FPS
City of Kansas City,MO,Fire Prevention,"$105,560 ",1/18/2001,FPS
Shreveport Fire Department,LA,Fire Prevention,"$38,572 ",1/18/2001,FPS
Decatur Township Fire Department,IN,Fire Prevention,"$57,191 ",1/18/2001,FPS
Greenville City Fire Department,SC,Fire Prevention,"$23,806 ",1/18/2001,FPS
Mauldin Fire Department,SC,Fire Prevention,"$14,300 ",1/18/2001,FPS
Milan Fire Dept.,TN,Fire Prevention,"$15,229 ",1/18/2001,FPS
Brewster Fire Department,MA,Fire Prevention,"$35,500 ",1/18/2001,FPS
"Institution of Fire Engineers, USA Branch",FL,Fire Prevention,"$664,534 ",1/18/2001,FPS
Fort Worth Fire Department,TX,Fire Prevention,"$70,477 ",1/18/2001,FPS
Robbinsville Township Fire Department,NJ,Fire Prevention,"$18,477 ",1/18/2001,FPS
Westland Fire Department,MI,Fire Prevention,"$125,239 ",1/17/2001,FPS
Lafayette Consolidated Government Fire Department,LA,Fire Prevention,"$126,191 ",1/18/2001,FPS
Worcester Fire Department,MA,Fire Prevention,"$175,446 ",1/17/2001,FPS
Yucca Fire Department,AZ,Fire Prevention,"$12,381 ",1/17/2001,FPS
"VT DPS, Div. Fire Safety, Public Education",VT,Fire Prevention,"$329,378 ",1/17/2001,FPS
JAMESTOWN FIRE DEPARTMENT,NY,Fire Prevention,"$4,135 ",1/18/2001,FPS
City of Terrell Fire Department,TX,Fire Prevention,"$13,215 ",1/18/2001,FPS
Sandusky Fire Department,OH,Fire Prevention,"$7,858 ",1/18/2001,FPS
The Salk Institute for Biological Studies,CA,Research,"$1,499,710 ",1/17/2001,FPS
University of Texas at Austin,TX,Research,"$1,429,919 ",1/17/2001,FPS
Vincennes City Fire Department,IN,Fire Prevention,"$166,205 ",1/17/2001,FPS
Wayne Fire Department,MI,Fire Prevention,"$14,972 ",1/17/2001,FPS
Oregon State University,OR,Research,"$1,500,000 ",1/17/2001,FPS
Pierce County Fire District No. 3,WA,Fire Prevention,"$150,578 ",1/17/2001,FPS
Saginaw Fire Department,MI,Fire Prevention,"$32,381 ",1/17/2001,FPS
San Francisco Fire Department,CA,Fire Prevention,"$215,380 ",1/17/2001,FPS
Scott & White Memorial Hospital,TX,Fire Prevention,"$1,500,000 ",1/17/2001,FPS
Spokane Valley Fire Department,WA,Fire Prevention,"$111,429 ",1/17/2001,FPS
National Fallen Firefighters Foundation,MD,Fire Prevention,"$1,428,567 ",1/17/2001,FPS
National Fire Protection Association,MA,Fire Prevention,"$1,500,000 ",1/17/2001,FPS
Drexel University,PA,Research,"$1,500,000 ",1/17/2001,FPS
"National Volunteer Fire Council, Inc.",MD,Fire Prevention,"$826,509 ",1/17/2001,FPS
Georgetown Fire Department,MA,Fire Prevention,"$10,475 ",1/17/2001,FPS
New London Fire Department,CT,Fire Prevention,"$84,875 ",1/17/2001,FPS
Germantown Fire Department,TN,Fire Prevention,"$23,391 ",1/17/2001,FPS
North Carolina State University,NC,Research,"$935,625 ",1/17/2001,FPS
Grand Rapids Fire Department,MI,Fire Prevention,"$347,781 ",1/17/2001,FPS
International Assoc. of Fire Fighters Foundation,DC,Fire Prevention,"$1,499,975 ",1/17/2001,FPS
International Association of Fire Fighters,DC,Fire Prevention,"$1,450,509 ",1/17/2001,FPS
Medical University of South Carolina,SC,Fire Prevention,"$380,289 ",1/17/2001,FPS
Meridian Township Fire Department,MI,Fire Prevention,"$66,667 ",1/17/2001,FPS
"National Development and Research Institutes, Inc.",NY,Research,"$1,499,948 ",1/17/2001,FPS
The Board of Trustees of the Univ of Illinois,IL,Fire Prevention,"$631,946 ",1/17/2001,FPS
Cranston Fire Department,RI,Fire Prevention,"$21,810 ",1/17/2001,FPS
University Auxiliary and Research Services Corpora,CA,Fire Prevention,"$958,249 ",1/17/2001,FPS
University of Kentucky Research Foundation,KY,Research and Prevention,"$125,770 ",1/17/2001,FPS
Ventura County Fire Protection District,CA,Fire Prevention,"$149,524 ",1/17/2001,FPS
Village of Sussex Fire Department,WI,Fire Prevention,"$10,000 ",1/17/2001,FPS
Yarnell Fire District,AZ,Fire Prevention,"$53,159 ",1/17/2001,FPS
American Red Cross,DC,Fire Prevention,"$1,500,000 ",1/17/2001,FPS
Camden Fire Department,SC,Fire Prevention,"$21,858 ",1/17/2001,FPS
Central Whidbey Island Fire & Rescue,WA,Fire Prevention,"$23,734 ",1/17/2001,FPS
"CFAI-Risk, Inc.",VA,Fire Prevention,"$1,000,000 ",1/17/2001,FPS
Superstition Fire & Medical District,AZ,Fire Prevention,"$105,462 ",1/17/2001,FPS
City of Springfield Fire Rescue Division,OH,Fire Prevention,"$13,953 ",1/17/2001,FPS
Pagosa Fire Protection District,CO,Fire Prevention,"$3,977 ",1/17/2001,FPS
Pigeon Forge Fire Department,TN,Fire Prevention,"$275,048 ",1/17/2001,FPS
Placerville Fire Protection District,ID,Fire Prevention,"$12,429 ",1/17/2001,FPS
Redings Mill Fire Protection District,MO,Fire Prevention,"$22,629 ",1/17/2001,FPS
Sioux City Fire Rescue,IA,Fire Prevention,"$18,286 ",1/17/2001,FPS
"Sonora Environmental Research Institute, Inc.",AZ,Fire Prevention,"$91,695 ",1/17/2001,FPS
South Bend Fire Department,IN,Fire Prevention,"$21,429 ",1/17/2001,FPS
Montgomery County Fire and Rescue Service,MD,Fire Prevention,"$110,196 ",1/17/2001,FPS
Southaven Fire Department,MS,Fire Prevention,"$12,143 ",1/17/2001,FPS
NASFM Fire Research & Education Foundation,WY,Fire Prevention,"$422,553 ",1/17/2001,FPS
St. Johns County Fire Rescue,FL,Fire Prevention,"$10,477 ",1/17/2001,FPS
New York State Assn. of Fire Chiefs,NY,Fire Prevention,"$311,746 ",1/17/2001,FPS
St. Louis Fire Department,MO,Fire Prevention,"$179,048 ",1/17/2001,FPS
Oklahoma Assistive Technology Foundation,OK,Fire Prevention,"$155,314 ",1/17/2001,FPS
First Responder Center for Excellence,MD,Fire Prevention,"$744,517 ",1/17/2001,FPS
Gwinnett County Fire and Emergency Services,GA,Fire Prevention,"$240,000 ",1/17/2001,FPS
Home Fire Sprinkler Coalition,MA,Fire Prevention,"$550,524 ",1/17/2001,FPS
"Institution of Fire Engineers, U.S. Branch",FL,Fire Prevention,"$705,068 ",1/17/2001,FPS
Clinton Fire Department,TN,Fire Prevention,"$22,858 ",1/17/2001,FPS
International Association of Arson Investigators,MD,Fire Prevention,"$864,477 ",1/17/2001,FPS
Cowlitz 2 Fire & Rescue,WA,Fire Prevention,"$18,372 ",1/17/2001,FPS
Kauai Fire Department,HI,Fire Prevention,"$20,762 ",1/17/2001,FPS
Cumberland Valley Volunteer Firemen's Association,WV,Fire Prevention,"$429,048 ",1/17/2001,FPS
Danville Volunteer Fire Department,GA,Fire Prevention,"$7,543 ",1/17/2001,FPS
E.S.C.A.P.E. Inc.,MI,Fire Prevention,"$23,334 ",1/17/2001,FPS
East Orange Fire Department,NJ,Fire Prevention,"$42,286 ",1/17/2001,FPS
Emmaus Fire Department,PA,Fire Prevention,"$4,096 ",1/17/2001,FPS
City of Maitland Fire Rescue.,FL,Fire Prevention,"$9,762 ",1/17/2001,FPS
City of Orlando Fire Department,FL,Fire Prevention,"$23,810 ",1/17/2001,FPS
City of Phoenix Fire Department,AZ,Fire Prevention,"$9,372 ",1/17/2001,FPS
California Fire Prevention Organization,CA,Fire Prevention,"$537,529 ",1/17/2001,FPS
City of Tampa- Tampa Fire Rescue Department,FL,Fire Prevention,"$201,160 ",1/17/2001,FPS
Chillicothe Fire Department,MO,Fire Prevention,"$18,991 ",1/17/2001,FPS
Cicero Fire Department,IL,Fire Prevention,"$123,810 ",1/17/2001,FPS
City of Akron Fire Department,OH,Fire Prevention,"$108,627 ",1/17/2001,FPS
City of Dallas,TX,Fire Prevention,"$197,764 ",1/17/2001,FPS
City of Freeport,IL,Fire Prevention,"$12,845 ",1/17/2001,FPS
City of Fresno - Fire Department,CA,Fire Prevention,"$37,620 ",1/17/2001,FPS
City Of Hazard Fire Department,KY,Fire Prevention,"$20,971 ",1/17/2001,FPS
Bristol Fire Company,PA,Fire Prevention,"$31,905 ",1/17/2001,FPS
Hall County Fire Services,GA,Fire Prevention,"$23,129 ",1/17/2001,FPS
Burlington Community Fire Protection District,IL,Fire Prevention,"$3,772 ",1/17/2001,FPS
Hallandale Beach Fire Rescue,FL,Fire Prevention,"$12,858 ",1/17/2001,FPS
Calabash Fire Department,NC,Fire Prevention,"$18,953 ",1/17/2001,FPS
Kent Fire Department,OH,Fire Prevention,"$8,095 ",1/17/2001,FPS
Miami-Dade Fire Rescue,FL,Fire Prevention,"$247,620 ",1/17/2001,FPS
North Las Vegas Fire Department,NV,Fire Prevention,"$46,667 ",1/17/2001,FPS
Omaha Fire Department,NE,Fire Prevention,"$189,620 ",1/17/2001,FPS
Atlantic City Fire Department,NJ,Fire Prevention,"$94,520 ",1/17/2001,FPS
Baltimore County Fire Department,MD,Fire Prevention,"$589,048 ",1/17/2001,FPS
City of Meridian Fire Department,MS,Fire Prevention,"$53,253 ",1/17/2001,FPS
Bazetta Fire Department,OH,Fire Prevention,"$16,191 ",1/17/2001,FPS
City of Moraine Fire Department,OH,Fire Prevention,"$20,477 ",1/17/2001,FPS
Biloxi Fire Department,MS,Fire Prevention,"$95,877 ",1/17/2001,FPS
City of Yuma Fire Department,AZ,Fire Prevention,"$10,000 ",1/17/2001,FPS
Alisa Ann Ruch Burn Foundation,CA,Fire Prevention,"$401,912 ",1/17/2001,FPS
City of Dayton Fire Department,OH,Fire Prevention,"$129,405 ",1/17/2001,FPS
Electrical Safety Foundation International,VA,Fire Prevention,"$332,790 ",1/17/2001,FPS
Fire Protection Research Foundation,MA,Fire Prevention,"$684,364 ",1/17/2001,FPS
Philadelphia Fire Department,PA,Fire Prevention,"$952,381 ",1/17/2001,FPS
Springfield Fire Department,IL,Fire Prevention,"$26,714 ",1/17/2001,FPS
"State of Tennessee, State Fire Marshal's Office",TN,Fire Prevention,"$266,667 ",1/17/2001,FPS
Cape Coral Fire Department,FL,Fire Prevention,"$188,572 ",1/17/2001,FPS
Vancouver Fire Department,WA,Fire Prevention,"$135,956 ",1/16/2001,FPS
White Bear Lake Vol. Fire Department,MN,Fire Prevention,"$23,739 ",1/16/2001,FPS
Fort Worth Fire Department,TX,Fire Prevention,"$23,810 ",1/16/2001,FPS
"Institution of Fire Engineers, U.S. Branch",FL,Fire Prevention,"$761,748 ",1/16/2001,FPS
NH State Fire Marshal's Office,NH,Fire Prevention,"$680,320 ",1/16/2001,FPS
North Shore Fire Department,WI,Fire Prevention,"$5,720 ",1/16/2001,FPS
Oceanport Fire Department,NJ,Fire Prevention,"$14,762 ",1/16/2001,FPS
Oconto Fire Rescue Department,WI,Fire Prevention,"$20,000 ",1/16/2001,FPS
Warren Fire Department,OH,Fire Prevention,"$10,183 ",1/16/2001,FPS
Sandy City Fire Department,UT,Fire Prevention,"$5,048 ",1/16/2001,FPS
Waterbury Fire Department,CT,Fire Prevention,"$22,286 ",1/16/2001,FPS
Sun City Fire District,AZ,Fire Prevention,"$82,096 ",1/16/2001,FPS
Worcester Fire Deptartment,MA,Fire Prevention,"$173,131 ",1/16/2001,FPS
University of Kentucky Research Foundation,KY,Research and Prevention,"$103,400 ",1/16/2001,FPS
Brighton Area Fire Authority,MI,Fire Prevention,"$86,286 ",1/16/2001,FPS
Clarksville Fire Rescue,TN,Fire Prevention,"$11,528 ",1/16/2001,FPS
Saltillo Fire Department,MS,Fire Prevention,"$64,639 ",1/16/2001,FPS
Sioux City Fire Rescue,IA,Fire Prevention,"$13,810 ",1/16/2001,FPS
Skidmore College,NY,Fire Prevention,"$1,467,062 ",1/16/2001,FPS
Medical University of South Carolina,SC,Fire Prevention,"$378,244 ",1/16/2001,FPS
The Board of Trustees of the Univ of Illinois,IL,Fire Prevention,"$1,465,114 ",1/16/2001,FPS
MS. Department Of Insurance/St. Fire Marshal's Ofc,MS,Fire Prevention,"$119,000 ",1/16/2001,FPS
Town of Bucksport,ME,Fire Prevention,"$240,595 ",1/16/2001,FPS
Mt. Pleasant Fire & Rescue,NC,Fire Prevention,"$10,477 ",1/16/2001,FPS
National Fire Protection Association,MA,Fire Prevention,"$1,455,399 ",1/16/2001,FPS
"National Fire Sprinkler Association, Inc.",NY,Fire Prevention,"$246,012 ",1/16/2001,FPS
"National Volunteer Fire Council, Inc.",MD,Fire Prevention,"$1,069,174 ",1/16/2001,FPS
Perry Township Fire Department,OH,Fire Prevention,"$92,715 ",1/16/2001,FPS
Ross Twp Fire Department,OH,Fire Prevention,"$9,524 ",1/16/2001,FPS
Johns Hopkins University,MD,Fire Prevention,"$742,909 ",1/16/2001,FPS
City of Kansas City,MO,Fire Prevention,"$123,487 ",1/16/2001,FPS
Lodi Fire and Rescue,OH,Fire Prevention,"$211,500 ",1/16/2001,FPS
City of Kingman Fire Department,AZ,Fire Prevention,"$8,229 ",1/16/2001,FPS
M.M.P. & W. Vol. Fire & Ambulance Co. Inc.,PA,Fire Prevention,"$96,764 ",1/16/2001,FPS
City of Rock Hill,SC,Fire Prevention,"$54,068 ",1/16/2001,FPS
Colerain Twp Dept of Fire & EMS,OH,Fire Prevention,"$89,143 ",1/16/2001,FPS
Fairfax County Fire and Rescue Department,VA,Fire Prevention,"$277,956 ",1/16/2001,FPS
Fire Protection Research Foundation,MA,Fire Prevention,"$114,286 ",1/16/2001,FPS
Healthy Homes Coalition of West Michigan,MI,Fire Prevention,"$51,451 ",1/16/2001,FPS
International Assoc. of Fire Fighters Foundation,DC,Fire Prevention,"$1,490,255 ",1/16/2001,FPS
International Association of Fire Fighters,DC,Fire Prevention,"$1,499,964 ",1/16/2001,FPS
International Society of Fire Service Instructors,VA,Fire Prevention,"$1,266,286 ",1/16/2001,FPS
"CFAI-Risk, Inc.",VA,Fire Prevention,"$1,250,217 ",1/16/2001,FPS
Leawood Fire Department,KS,Fire Prevention,"$9,898 ",1/16/2001,FPS
New York University,NY,Fire Prevention,"$936,458 ",1/16/2001,FPS
Provo Fire & Rescue,UT,Fire Prevention,"$20,143 ",1/16/2001,FPS
The Board of Trustees of the Univ of Illinois,IL,Fire Prevention,"$1,465,114 ",1/16/2001,FPS
Tidmore Bend Volunteer Fire Department,AL,Fire Prevention,"$5,905 ",1/16/2001,FPS
Wayne State University,MI,Fire Prevention,"$160,167 ",1/16/2001,FPS
Asheville Fire Department,NC,Fire Prevention,"$91,886 ",1/16/2001,FPS
Biloxi Fire Department,MS,Fire Prevention,"$21,429 ",1/16/2001,FPS
Bloomfield Township Fire Department,MI,Fire Prevention,"$23,589 ",1/16/2001,FPS
Central California Burn Aware,CA,Fire Prevention,"$91,150 ",1/16/2001,FPS
Keene Fire Department,NH,Fire Prevention,"$64,625 ",1/16/2001,FPS
Saugatuck Township Fire District,MI,Fire Prevention,"$21,143 ",1/16/2001,FPS
Texas A&M Engineering Extension Service,TX,Fire Prevention,"$624,307 ",1/16/2001,FPS
Trenton Fire,MI,Fire Prevention,"$16,310 ",1/16/2001,FPS
Bristol Fire Department,CT,Fire Prevention,"$169,048 ",1/16/2001,FPS
City of Yuma Fire Department,AZ,Fire Prevention,"$10,000 ",1/16/2001,FPS
Clackamas County Fire District #1,OR,Fire Prevention,"$33,191 ",1/16/2001,FPS
Oklahoma Assistive Technology Foundation,OK,Fire Prevention,"$312,674 ",1/16/2001,FPS
Cumberland Valley Volunteer Firemen's Association,MD,Fire Prevention,"$507,191 ",1/16/2001,FPS
Overland Park Fire Department,KS,Fire Prevention,"$19,048 ",1/16/2001,FPS
"Ember911, Inc./Prevent-Educate.org",IL,Fire Prevention,"$21,334 ",1/16/2001,FPS
Park Forest Fire Department,IL,Fire Prevention,"$101,111 ",1/16/2001,FPS
Goshen Township Fire/Ems,OH,Fire Prevention,"$9,524 ",1/16/2001,FPS
Pharr Fire Department,TX,Fire Prevention,"$4,372 ",1/16/2001,FPS
Grand Traverse Band of Ottawa and Chippewa Indians,MI,Fire Prevention,"$23,589 ",1/16/2001,FPS
Poudre Fire Authority,CO,Fire Prevention,"$25,631 ",1/16/2001,FPS
"FDNY Foundation, Inc.",NY,Fire Prevention,"$937,905 ",1/16/2001,FPS
Fire Department Safety Officers Association,MI,Fire Prevention,"$1,500,000 ",1/16/2001,FPS
Howard County Department of Fire Rescue Services,MD,Fire Prevention,"$201,524 ",1/16/2001,FPS
Brevard County Board of County Comm D/B/A Brevard County Fire Rescue,FL,Fire Prevention,"$31,096 ",1/16/2001,FPS
National Fallen Firefighters Foundation,MD,Fire Prevention,"$1,428,572 ",1/16/2001,FPS
City of Bend Fire Department,OR,Fire Prevention,"$31,905 ",1/16/2001,FPS
New Britain Fire Department,CT,Fire Prevention,"$47,620 ",1/16/2001,FPS
City of Chico Fire and Rescue,CA,Fire Prevention,"$93,191 ",1/16/2001,FPS
